Water system name,Water body type,Water body name,Water body abbraviation,Sampling station,Sample name,Sampling date,Sample type,Latitude,Longitude,Elevation,Sample memo,pH,Temperature [C],Alkalinity [meq/L],Electrical conductivity [mS/m],Oxidation-reduction potential [mV],Dissolved oxygen [mg/L],Flow rate [m3/s],Na+ [ppm],Ca++ [ppm],K+ [ppm],Mg++ [ppm],Si [ppm],Cl- [ppm],SO4-- [ppm],NO2- [ppm],NO3- [ppm],Ionic strength [mol/kgw],Charge imbalance [eq],Charge imbalance [%],log a Ca++,log a Mg++,log a CO3--,si_CO2(g),si_Monohydrocalcite,si_AMC_TK,si_MSH075KF,si_Gypsum,HCO3- [ppm]
Boon Tsagaan Lake,River,Baidrag River,BD,2,BD_02,2024-06-15,Water,45.861389,99.337889,,Collected by Baaska,8.83,23.9,2.01,35.2,235.0,,,14.5,37.0,2.15,14.79,2.78,6.6,49.1,0.766,1.19,0.005108429916183853,0.0003908568200627706,6.0387287912910885,-3.214739135645236,-3.385704332305635,-4.338072512213472,-3.8142483001474847,-0.33937930883300904,-2.100415338768853,-0.5043586757895149,-2.1693931111961877,113.49732768931874
Boon Tsagaan Lake,River,Baidrag River,BD,T,BD_T,2024-06-15,Water,46.175556,99.025306,,Collected by Baaska,8.91,19.2,3.29,52.4,230.0,,,33.3,46.9,3.67,19.87,8.28,17.1,49.3,1.57,9.6,0.007343517008852489,-7.861738311949003e-05,-0.7763533649666093,-3.1481011111282604,-3.281964510618281,-4.102218390699598,-3.7270886173022753,0.004842465895887216,-1.7191421400836773,0.16496494364361958,-2.1353711613779742,183.88341563665182
Boon Tsagaan Lake,Lake,Boon Tsagaan Lake,BTS,1,BTS_01,2024-08-03,Water,45.613139,99.229333,1304.0,,9.05,25.8,17.7,972.0,165.0,5.35,,1770.0,30.7,109.0,270.0,0.299,2000.0,2230.0,0.0,0.0,0.12144524413700032,-0.017023035757162876,-8.747930080318149,-3.77757982823684,-2.6031146173565434,-3.362637998442498,-3.281184883348078,0.05597435453157518,-0.36217390856530685,-0.703598442819132,-1.5112178614748206,914.9056431103896
Boon Tsagaan Lake,Lake,Boon Tsagaan Lake,BTS,2,BTS_02,2024-08-02,Water,45.659667,99.151611,1337.0,,9.04,24.2,16.8,995.0,176.0,4.5,,1810.0,30.0,110.0,278.0,0.367,1890.0,2340.0,0.0,0.0,0.1223865938967492,-0.01292212717492339,-6.638517228792704,-3.7772799616641852,-2.585038607648285,-3.4039935476296037,-3.299513956051915,0.028337531697692597,-0.3720228260248115,-0.6097953510375902,-1.4936740032505087,873.7448293846053
Boon Tsagaan Lake,Lake,Boon Tsagaan Lake,BTS,3,BTS_03,2024-08-02,Water,45.603778,98.980889,,,9.09,23.7,16.8,998.0,120.0,4.88,,1800.0,29.8,110.0,276.0,0.255,1800.0,2330.0,0.0,0.0,0.12071869540161648,-0.010784822520631208,-5.635746839265305,-3.7844829352721097,-2.5884386741381737,-3.3705378202163234,-3.3650585872622276,0.05888168517573522,-0.33762692411943807,-0.710406635189023,-1.499900777091887,863.1133964555789
Boon Tsagaan Lake,River,Baidrag River,BD,E1,BD_E1,2024-08-03,Water,45.631383,99.269986,1310.0,,8.33,21.7,2.08,38.5,155.0,5.27,6.74,12.3,32.4,2.16,11.4,2.82,5.74,34.7,0.56,0.0,0.004456578024816137,0.00014070372129212731,2.407572555005319,-3.2416613504528073,-3.4757350324650433,-4.790004244125746,-3.2613067479878826,-0.7990890603166845,-2.623228341708783,-1.2915863350748378,-2.33374462016664,125.13238441794041
Boon Tsagaan Lake,River,Baidrag River,BD,E2,BD_E2,2024-08-03,Water,45.627231,99.270925,1309.0,,8.09,22.6,2.16,30.3,184.0,5.17,1.02,12.5,32.7,2.19,11.5,2.82,5.83,34.7,0.57,0.0,0.0045387405223422566,9.01175570214316e-05,1.5044678118126569,-3.235205827120743,-3.4717763255135625,-4.997815404004459,-2.9911972096848736,-1.0083615250158,-2.8349997729296628,-1.6444720569568743,-2.328390036314998,132.16639481464816
Boon Tsagaan Lake,River,Baidrag River,BD,1,BD_01,2024-08-04,Water,46.176111,99.264528,,,7.52,21.1,1.59,21.8,226.0,4.69,,7.26,25.7,2.94,5.15,3.89,3.46,15.1,0.26,1.8,0.003053489448460422,-5.1845511486704434e-05,-1.2460768132778357,-3.3075770717240425,-3.788088136283469,-5.697783241418154,-2.547640586383533,-1.7674328492926508,-3.8379937711273264,-2.592393799722374,-2.7268951059542283,103.3266123239682
Boon Tsagaan Lake,River,Baidrag River,BD,2,BD_02,2024-08-04,Water,45.860889,99.338222,,,7.83,19.9,1.86,28.2,242.0,5.01,,10.4,29.2,3.97,7.65,3.74,4.99,22.4,0.55,0.0,0.0037173199469675254,0.00013409168907265606,2.6813206528831115,-3.2656060196165173,-3.6296615730522817,-5.336727878109418,-2.8035159004799697,-1.3535653326805552,-3.3076790225021755,-2.027171395467718,-2.5313057430976587,116.50796681060632
Boon Tsagaan Lake,River,Baidrag River,BD,02D,BD_02D,2024-08-04,Water,46.040028,99.293056,,,7.8,20.8,1.72,24.1,209.0,4.6,,8.09,27.5,3.48,6.69,3.84,3.84,17.4,0.42,1.78,0.0033939357568477744,1.60071006871264e-05,0.3483009760711176,-3.2854319439386788,-3.681059007214033,-5.390733999359829,-2.7998429637638695,-1.435549095196289,-3.421230003968065,-2.0991211262739693,-2.652841284929351,108.00083613001559
